indx,id,NEW_TPSID,species,amt,dN,dC,%N,%C,C:N,run
17,BD22001,LSL22023PKS,PKS,0.499,13.35969,-23.76917,14.09427,46.55586,3.30318,2
30,CSJ2101036,CSJ21036PKS,PKS,0.516,12.13312,-20.15464,14.76071,48.35613,3.276,2
52,CSJ22024,CSJ22024PKS,PKS,0.521,13.66068535,-20.2731092,14.4928351,46.0272984,3.175865735,4
53,CSJ22028,CSJ22028PKS,PKS,0.5095,10.4268638,-30.37857781,14.3973104,46.6903412,3.24292452,4
75,CSJ22030,CSJ22030PKS,PKS,0.475,9.595256213,-29.11799811,13.8089979,43.1047521,3.121497477,5
70,CSJ22031,CSJ22031PKS,PKS,0.455,11.46459293,-26.30310894,15.3824093,47.8463775,3.110460564,5
19,CSJ22033,CSJ22033PKS,PKS,0.538,11.21796,-25.85339,14.80822,48.84793,3.2987,2
18,CSJ22048,CSJ22048HYB,HYB,0.494,11.34654,-25.68079,14.36651,46.62989,3.24573,2
80,CSJ22059,CSJ22059PKS,PKS,0.522,11.40322073,-26.75001304,15.1097899,46.8719174,3.102089288,5
78,CSJ22063,CSJ22063PKS,PKS,0.517,11.46459293,-27.55888924,15.5517587,49.0601021,3.154633701,5
15,CSJ22067,CSJ22067PKS,PKS,0.504,11.26819,-27.35811,14.41093,47.35521,3.28607,2
76,CSJ22068,CSJ22068PKS,PKS,0.543,11.84540237,-26.86072797,15.1201155,47.35361115,3.131828714,5
69,CSJ22069,CSJ22069PKS,PKS,0.497,11.67084375,-29.0563213,15.4027271,47.8843939,3.108825703,5
3,LC19023,SOU19023HYB,HYB,0.488,14.19441,-21.0089,14.52847,47.1428,3.24486,1
61,LC19026,SOU19026HYB,HYB,0.46,13.77129492,-18.72343684,14.4262092,46.3280015,3.211377352,4
26,LC22001,SOU22001PKS,PKS,0.51,12.95284,-22.28101,14.65611,47.25728,3.22441,2
10,LC22003,SOU22003BLG,BLG,0.474,12.25668,-21.36383,14.38607,47.42294,3.29645,2
74,LC22004,SOU22004BLG,BLG,0.499,12.84093987,-20.83409475,15.1595767,46.8569415,3.090913581,5
14,LC22009,SOU22009BLG,BLG,0.498,13.49229,-20.76776,14.73217,48.05137,3.26166,2
84,LC22010,SOU22010BLG,BLG,0.496,13.54420487,-19.92714231,15.7896284,48.6591062,3.081713196,5
12,LC22019,SOU22019PKS,PKS,0.508,12.9217,-21.60868,13.41513,43.19256,3.21969,2
37,LC22020,SOU22020BLG,BLG,0.525,12.44855,-21.701,14.1037,44.93193,3.18583,2
6,LC22023,SOU22023HYB,HYB,0.4915,12.66426571,-21.6421242,14.54449555,45.8013586,3.149022291,1
73,LC22026,SOU22026HYB,HYB,0.511,13.17094119,-21.53680594,15.1553401,46.5118869,3.069009774,5
34,LC22027,SOU22027BLG,BLG,0.491,12.92271,-20.00111,13.99753,44.66156,3.19068,2
24,LC22028,SOU22028BLG,BLG,0.524,12.88755,-21.51134,14.70368,48.43016,3.29374,2
16,LC22032,SOU22032BLG,BLG,0.513,13.12563,-21.60868,14.20943,47.24543,3.32493,2
68,LC22033,SOU22033PKS,PKS,0.573,13.07737374,-22.03123152,13.6325973,42.8695998,3.144639195,5
7,LC22034,SOU22034BLG,BLG,0.472,13.46115,-21.33072,14.31397,47.16744,3.2952,2
33,LC22035,SOU22035BLG,BLG,0.513,12.7891,-19.8275,13.93816,44.29272,3.1778,2
56,LC22036,SOU22036BLG,BLG,0.505,13.20215841,-20.07551343,14.4384874,46.5845939,3.226417879,4
2,LC22037,SOU22037HYB,HYB,0.528,12.1194,-21.36859,14.40242,46.48296,3.22744,1
43,LC22038,SOU22038BLG,BLG,0.523,13.63992,-21.52657,14.72594,47.59024,3.23173,3
47,LC22041,SOU22041PKS,PKS,0.519,12.94843,-21.7353,14.39648,46.45111,3.22656,3
35,LC22042,SOU22042BLG,BLG,0.502,12.04472,-22.06526,13.94496,44.31813,3.17808,2
67,LC22043,SOU22043BLG,BLG,0.522,12.9668617,-22.66933396,14.6582045,46.7951878,3.192422906,4
23,LC22044,SOU22044BLG,BLG,0.522,13.45814,-21.19625,14.22387,46.20749,3.24859,2
57,LC22046,SOU22046BLG,BLG,0.513,12.94675087,-22.66632489,14.748988,47.1849312,3.199197884,4
62,LC22047,SOU22047BLG,BLG,0.4975,11.59932522,-21.19137783,14.13554535,45.2966691,3.204449204,4
45,LC22049,SOU22049BLG,BLG,0.496,13.36715,-21.10812,14.80567,46.84953,3.1643,3
38,LC22050,SOU22050BLG,BLG,0.499,13.19494,-23.25739,14.27395,45.38848,3.17981,2
1,LC22018,SOU22018HYB,HYB,0.502,12.88974,-21.59603,14.61002,46.74869,3.19977,1
36,LCAN22001,LAC22001HYB,HYB,0.472,13.08846,-19.62581,13.94921,43.68201,3.1315,2
66,LCAN22005,LAC22005PKS,PKS,0.541,11.47866023,-15.63813446,14.3835165,44.8467314,3.117925397,4
71,LCAN22008,LAC22008BLG,BLG,0.519,12.86408021,-19.52371531,14.9314308,46.16257,3.091637407,5
13,LCAN22010,LAC22010PKS,PKS,0.488,12.5249,-25.12386,14.61722,47.40516,3.2431,2
25,LCAN22011,LAC22011PKS,PKS,0.536,12.62636,-20.63229,13.19312,42.56931,3.22663,2
